Label,Region name,Region description
1.0,Precentral_L,Precental gyrus
2.0,Precentral_R,Precental gyrus
3.0,Frontal_Sup_L ,"Superior frontal gyrus, dorsolateral"
4.0,Frontal_Sup_R ,"Superior frontal gyrus, dorsolateral"
5.0,Frontal_Sup_Orb_L ,"Superior frontal gyrus, orbital part "
6.0,Frontal_Sup_Orb_R ,"Superior frontal gyrus, orbital part "
7.0,Frontal_Mid_L ,Middle frontal gyrus
8.0,Frontal_Mid_R ,Middle frontal gyrus
9.0,Frontal_Mid_Orb_L ,"Middle frontal gyrus, orbital part "
10.0,Frontal_Mid_Orb_R ,"Middle frontal gyrus, orbital part "
11.0,Frontal_Inf_Oper_L ,"Inferior frontal gyrus, opercular part"
12.0,Frontal_Inf_Oper_R ,"Inferior frontal gyrus, opercular part"
13.0,Frontal_Inf_Tri_L ,"Inferior frontal gyrus, triangular part"
14.0,Frontal_Inf_Tri_R ,"Inferior frontal gyrus, triangular part"
15.0,Frontal_Inf_Orb_L ,"Inferior frontal gyrus, orbital part "
16.0,Frontal_Inf_Orb_R ,"Inferior frontal gyrus, orbital part "
17.0,Rolandic_Oper_L ,Rolandic operculum
18.0,Rolandic_Oper_R ,Rolandic operculum
19.0,Supp_Motor_Area_L ,Supplementary motor area 
20.0,Supp_Motor_Area_R ,Supplementary motor area 
21.0,Olfactory_L ,Olfactory cortex
22.0,Olfactory_R ,Olfactory cortex
23.0,Frontal_Sup_Medial_L ,"Superior frontal gyrus, medial "
24.0,Frontal_Sup_Medial_R ,"Superior frontal gyrus, medial "
25.0,Frontal_Mid_Orb_L ,"Superior frontal gyrus, medial orbital "
26.0,Frontal_Mid_Orb_R ,"Superior frontal gyrus, medial orbital "
27.0,Rectus_L ,Gyrus rectus 
28.0,Rectus_R ,Gyrus rectus 
29.0,Insula_L ,Insula 
30.0,Insula_R ,Insula 
31.0,Cingulum_Ant_L ,Anterior cingulate and paracingulate gyri
32.0,Cingulum_Ant_R ,Anterior cingulate and paracingulate gyri
33.0,Cingulum_Mid_L ,Median cingulate and paracingulate gyri
34.0,Cingulum_Mid_R ,Median cingulate and paracingulate gyri
35.0,Cingulum_Post_L ,Posterior cingulate gyrus 
36.0,Cingulum_Post_R ,Posterior cingulate gyrus 
37.0,Hippocampus_L ,Hippocampus 
38.0,Hippocampus_R ,Hippocampus 
39.0,ParaHippocampal_L ,Parahippocampal gyrus
40.0,ParaHippocampal_R ,Parahippocampal gyrus
41.0,Amygdala_L ,Amygdala 
42.0,Amygdala_R ,Amygdala 
43.0,Calcarine_L ,Calcarine fissure and surrounding cortex 
44.0,Calcarine_R ,Calcarine fissure and surrounding cortex 
45.0,Cuneus_L ,Cuneus 
46.0,Cuneus_R ,Cuneus 
47.0,Lingual_L ,Lingual gyrus
48.0,Lingual_R ,Lingual gyrus
49.0,Occipital_Sup_L ,Superior occipital gyrus
50.0,Occipital_Sup_R ,Superior occipital gyrus
51.0,Occipital_Mid_L ,Middle occipital gyrus
52.0,Occipital_Mid_R ,Middle occipital gyrus
53.0,Occipital_Inf_L ,Inferior occipital gyrus
54.0,Occipital_Inf_R ,Inferior occipital gyrus
55.0,Fusiform_L ,Fusiform gyrus
56.0,Fusiform_R ,Fusiform gyrus
57.0,Postcentral_L ,Postcentral gyrus
58.0,Postcentral_R ,Postcentral gyrus
59.0,Parietal_Sup_L ,Superior parietal gyrus
60.0,Parietal_Sup_R ,Superior parietal gyrus
61.0,Parietal_Inf_L ,"Inferior parietal, but supramarginal and angular gyri "
62.0,Parietal_Inf_R ,"Inferior parietal, but supramarginal and angular gyri "
63.0,SupraMarginal_L ,Supramarginal gyrus
64.0,SupraMarginal_R ,Supramarginal gyrus
65.0,Angular_L ,Angular gyrus
66.0,Angular_R ,Angular gyrus
67.0,Precuneus_L ,Precuneus 
68.0,Precuneus_R ,Precuneus 
69.0,Paracentral_Lobule_L ,Paracentral lobule
70.0,Paracentral_Lobule_R ,Paracentral lobule
71.0,Caudate_L ,Caudate nucleus
72.0,Caudate_R ,Caudate nucleus
73.0,Putamen_L ,"Lenticular nucleus, putamen "
74.0,Putamen_R ,"Lenticular nucleus, putamen "
75.0,Pallidum_L ,"Lenticular nucleus, pallidum "
76.0,Pallidum_R ,"Lenticular nucleus, pallidum "
77.0,Thalamus_L ,Thalamus 
78.0,Thalamus_R ,Thalamus 
79.0,Heschl_L ,Heschl gyrus 
80.0,Heschl_R ,Heschl gyrus 
81.0,Temporal_Sup_L ,Superior temporal gyrus
82.0,Temporal_Sup_R ,Superior temporal gyrus
83.0,Temporal_Pole_Sup_L ,Temporal pole: superior temporal gyrus
84.0,Temporal_Pole_Sup_R ,Temporal pole: superior temporal gyrus
85.0,Temporal_Mid_L ,Middle temporal gyrus
86.0,Temporal_Mid_R ,Middle temporal gyrus
87.0,Temporal_Pole_Mid_L ,Temporal pole: middle temporal gyrus 
88.0,Temporal_Pole_Mid_R ,Temporal pole: middle temporal gyrus 
89.0,Temporal_Inf_L ,Inferior temporal gyrus
90.0,Temporal_Inf_R ,Inferior temporal gyrus
